ticker,event,event_start,event_end,plotted,pre_avg_daily_ret,event_total_ret,post_avg_daily_ret,n_days_pre,n_days_event,n_days_post
PFE,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0021962093481955646,0.003511815065277757,0.0022200160657336295,20,43,20
PG,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0012433527544843564,-0.042031572617561075,0.0018184031874608597,20,43,20
RELIANCE.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0009101354202231866,0.01382924491673565,-0.00045924205534643697,20,43,20
SI=F,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0009961032664119037,-0.059958498004810123,-0.0012950764462386325,20,43,20
SUNPHARMA.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0018609107017349045,0.014227780132233026,0.004539011178248953,20,43,20
TCS.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.002544661426675269,0.02070700719820806,-0.001701084277681331,20,43,20
TSLA,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.00282758792576989,-0.009946259629193266,-0.0011686937269488914,20,43,20
USDCAD=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0005178364771489006,0.002252489484942277,-0.0003115704864659049,20,44,20
USDCHF=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0013027603910440143,-0.005938541683758847,-0.0007933005612583202,20,44,20
USDINR=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0001588998344765901,0.0012245998179587492,-0.000317420765913368,20,44,20
USDJPY=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0018153136195322994,0.0004912864540420614,-0.0008039894707622668,20,44,20
V,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.001921401680770295,-0.056704704285190144,0.0030360555794278457,20,43,20
XOM,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0015081375745122066,-0.009727796233267028,-0.0028991876118733503,20,43,20
ZC=F,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.01431842493838019,-0.32735021869297765,-0.010430178669902035,20,43,20
AAPL,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0008428224567742029,-0.15338218053570896,0.0014721964232089011,20,53,20
AMZN,FTX_Collapse_2022,2022-10-01,2022-12-15,True,2.9094353446147692e-06,0.3713102587387147,-0.0008032743939471575,20,53,20
AUDUSD=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0008595217942376262,-0.05432032357157657,-0.0009898136859463127,20,54,20
AXISBANK.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,9.789255793662961e-05,0.22889468151307102,-0.00047766991837358997,20,51,20
BAC,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.002499021984758686,-0.06115557160072338,-0.0023891636246671545,20,53,20
BHARTIARTL.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.00430626580971219,0.05136227648702585,-0.0009154809058204934,20,51,20
BRK-B,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.00046689818648759375,-0.09022603264813445,4.656677262607645e-06,20,53,20
BTC-USD,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.001664728107052895,-0.145487836366189,-0.00037510380942285345,20,76,20
BZ=F,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0009441061779314095,-0.024713123392882785,-0.0036366261257814248,20,53,20
CL=F,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-623646004850.4047,inf,387514735784.7189,20,53,20
CVX,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0013398219390780594,-0.06987176688244856,-0.0006624095031619343,20,53,20
DIS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.005930537973113226,-0.16039901627294417,-0.0008338853264692221,20,53,20
EURUSD=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0005752470419050599,0.004365935053285419,-0.00029595283201745,20,54,20
GBPUSD=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0034082416488814744,-0.03924188417959951,-0.0018503793925727778,20,54,20
GC=F,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0002680575620640448,-0.05090022098512381,0.0035106061646344054,20,53,20
GLD,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0001790163613184021,-0.05500917958654716,0.0031275516334296734,20,53,20
GOOG,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.003468748961506815,-0.10703659867313664,-0.0011760149425134414,20,53,20
HDFCBANK.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0018695657372981283,0.03936752350070627,-0.0016355492995397982,20,51,20
HINDUNILVR.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0007409704235661294,-0.08169109684162446,-0.0015043763042832284,20,51,20
ICICIBANK.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0021167664763321755,-0.010767253427323653,-7.081754420391472e-05,20,51,20
INFY.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0010337060730447368,-0.0364317230953225,-0.0007856037760174652,20,51,20
ITC.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0030684090116212745,0.007972225012399026,-0.0013725403647765074,20,51,20
JNJ,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0011754820103366949,-0.0243219404487498,-0.0012958443891085212,20,53,20
JPM,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0018846807507418805,-0.05522338545472538,0.004227935415141683,20,53,20
KO,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.00484522667700376,-0.007867788420092725,-0.00118509454586493,20,53,20
LT.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0010004712096209683,0.11492471028439288,-0.0011692514636212291,20,51,20
MA,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.009259648038114184,-0.14311848951754647,0.002467569897957826,20,53,20
MARUTI.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0019455775680525989,-0.029503537884680076,-9.06869163927649e-05,20,51,20
META,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.002074939483579865,-0.32484344925162123,0.0013366740694053583,20,53,20
MSFT,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.003871790497965709,-0.21478847599287232,-0.0014557680843353027,20,53,20
NFLX,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0036422756876783894,0.020148286393587123,0.002796333222986416,20,53,20
NG=F,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0034036564897562986,-0.1854002642226762,-0.00568298608401944,20,53,20
NVDA,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.007117563599282513,-0.1944164346320505,-0.0008616157728176397,20,53,20
NZDUSD=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0019171415465226045,0.005517329428384343,-0.0020261371515342603,20,54,20
PFE,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0039227630068678545,0.004025815279717904,-0.0019214654267237425,20,53,20
PG,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0034922576706174777,-0.02078313288356326,-0.0010409570184922723,20,53,20
RELIANCE.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.000521143064529675,-0.062435680001049265,-0.0006690256508136046,20,51,20
SI=F,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0068379556067942856,0.029410077547145308,0.0004660324151398262,20,53,20
SUNPHARMA.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0005945715704019339,0.03678733594443795,7.32155491944378e-05,20,51,20
TCS.NS,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0006519271351514272,-0.06336535972677126,-0.0013240215213320631,20,51,20
TSLA,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.001485483195171581,0.19356720861262655,0.03266725620198598,20,53,20
